check_id,quantity,unit,v027_value,v03_value,status,source_v027,source_v03,note
SCI-001,TS-D-RLS mean C MAPE,percent,0.3727,0.3727,UNCHANGED,manuscript_v027/sections/07_results.tex,manuscript_v03/sections/07_results.tex,
SCI-002,TS-D-RLS mean ESR MAPE,percent,0.2233,0.2233,UNCHANGED,manuscript_v027/sections/07_results.tex,manuscript_v03/sections/07_results.tex,
SCI-003,TS-D-RLS mean internal convergence,cycles,13.21,13.21,UNCHANGED,manuscript_v027/sections/07_results.tex,manuscript_v03/sections/07_results.tex,
SCI-004,TS-SLTVKE static metrics,"C MAPE/ESR MAPE/C p95/ESR p95/convergence","0.3011/0.6446/1.1069/2.4992/33.09","0.3011/0.6446/1.1069/2.4992/33.09",UNCHANGED,manuscript_v027/sections/07_results.tex,manuscript_v03/sections/07_results.tex,
SCI-005,Dual EKF static metrics,"C MAPE/ESR MAPE/C p95/ESR p95/convergence","0.3043/1.1938/1.1492/3.8602/40.58","0.3043/1.1938/1.1492/3.8602/40.58",UNCHANGED,manuscript_v027/sections/07_results.tex,manuscript_v03/sections/07_results.tex,
SCI-006,capacitance information lower bound,normalized inverse-variance information,0.217943,0.217943,UNCHANGED,manuscript_v027/sections/04_identifiability.tex,manuscript_v03/sections/04_identifiability.tex,
SCI-007,ESR information lower bound,ohm^-2,880.008,880.008,UNCHANGED,manuscript_v027/sections/04_identifiability.tex,manuscript_v03/sections/04_identifiability.tex,
SCI-008,k_R computation value,1,0.97719802594550731,0.97719802594550731,UNCHANGED,manuscript_v027/source_traceability/PARAMETER_SOURCE_MATRIX.csv,manuscript_v03/source_traceability/PARAMETER_SOURCE_MATRIX.csv,full precision retained outside main text
SCI-009,k_R manuscript display,1,0.97719802594550731,0.9772,DISPLAY_ROUNDING_ALLOWED,manuscript_v027/sections/03_observation_framework.tex,manuscript_v03/sections/03_observation_framework.tex,results still use SCI-008 full precision
SCI-010,charge-safe-window length,microsecond,2.0,2.0,UNCHANGED,manuscript_v027/sections/02_modeling.tex,manuscript_v03/sections/02_modeling.tex,
SCI-011,ESR edge-fit-window length,microsecond,2.2,2.2,UNCHANGED,manuscript_v027/sections/02_modeling.tex,manuscript_v03/sections/02_modeling.tex,
SCI-012,ESR edge-current gate,A,0.12,0.12,UNCHANGED,manuscript_v027/sections/03_observation_framework.tex,manuscript_v03/sections/03_observation_framework.tex,
SCI-013,F28379D worst p95 C error,percent,1.6425,1.6425,UNCHANGED,manuscript_v027/sections/08_device_realistic.tex,manuscript_v03/sections/08_device_realistic.tex,
SCI-014,F28379D worst p95 ESR error,percent,2.6109,2.6109,UNCHANGED,manuscript_v027/sections/08_device_realistic.tex,manuscript_v03/sections/08_device_realistic.tex,
SCI-015,0.1-s ramp,"TS-D-RLS nRMSE/TS-SLTVKE nRMSE/TS-D-RLS lag/TS-SLTVKE lag","0.1161/0.2160/8.053/22.027","0.1161/0.2160/8.053/22.027",UNCHANGED,manuscript_v027/sections/07_results.tex,manuscript_v03/sections/07_results.tex,
SCI-016,1-s ramp,"TS-D-RLS nRMSE/TS-SLTVKE nRMSE/TS-D-RLS lag/TS-SLTVKE lag","0.0163/0.0454/1.360/3.537","0.0163/0.0454/1.360/3.537",UNCHANGED,manuscript_v027/sections/07_results.tex,manuscript_v03/sections/07_results.tex,
SCI-017,10-s ramp,"TS-D-RLS nRMSE/TS-SLTVKE nRMSE/TS-D-RLS lag/TS-SLTVKE lag","0.0160/0.0456/1.752/4.492","0.0160/0.0456/1.752/4.492",UNCHANGED,manuscript_v027/sections/07_results.tex,manuscript_v03/sections/07_results.tex,
SCI-018,100-s ramp,"TS-D-RLS nRMSE/TS-SLTVKE nRMSE/TS-D-RLS lag/TS-SLTVKE lag","0.0213/0.0477/2.827/4.868","0.0213/0.0477/2.827/4.868",UNCHANGED,manuscript_v027/sections/07_results.tex,manuscript_v03/sections/07_results.tex,
SCI-019,TS-D-RLS complexity,"mult/add/div/estimated microsecond","28/20/1/1.36","28/20/1/1.36",UNCHANGED,manuscript_v027/sections/07_results.tex,manuscript_v03/sections/07_results.tex,
SCI-020,TS-SLTVKE complexity,"mult/add/div/estimated microsecond","46/34/1/2.12","46/34/1/2.12",UNCHANGED,manuscript_v027/sections/07_results.tex,manuscript_v03/sections/07_results.tex,
SCI-021,Dual EKF complexity,"mult/add/div/estimated microsecond","62/47/2/3.05","62/47/2/3.05",UNCHANGED,manuscript_v027/sections/07_results.tex,manuscript_v03/sections/07_results.tex,
SCI-022,joint confidence coverage,"TS-D-RLS/TS-SLTVKE/Dual EKF percent","13.00/88.93/81.90","13.00/88.93/81.90",UNCHANGED,manuscript_v027/sections/07_results.tex,manuscript_v03/sections/07_results.tex,
